  COBI#       atomMU       atomNU     distance     translation      ICOBI (at) eF   for spin  1
    116          H13           H5      0.95014       0   0   0            0.32870 
    117          H14           H5      2.08369      -1  -1   0            0.00080 
    118          H14           H5      2.10482       0   0   0            0.00637 
    119           H7           H6      1.79395       0   0   0            0.00874 
    120           H7           H6      1.76924       0   1   0            0.00377 
    121           H7           H6      2.98389       1   1   0            0.00004 
    122           H8           H6      1.73747      -1   0   0            0.00204 
    123           H8           H6      1.68631       0   0   0            0.01206 
    124           H9           H6      0.95009       0   0   0            0.33133 
    125          H10           H6      1.98028      -1   0   0            0.00057 
    126          H10           H6      1.93555       0   0   0            0.00843 
    127          H11           H6      2.10475       0   0   0            0.00675 
    128          H11           H6      2.08372       0   1   0            0.00077 
    129          H12           H6      2.52179      -1   0  -1            0.00007 
    130          H12           H6      2.34149      -1   1  -1            0.00261 
    131          H12           H6      2.30382       0   1  -1            0.00094 
    132          H13           H6      1.56963       0   1  -1            0.03162 
    133          H14           H6      1.52962      -1   0  -1            0.03605 
    134          H14           H6      2.84844       0   0  -1            0.00064 
    135          H14           H6      2.86207       0   1  -1            0.00011 
    136           H8           H7      1.76918      -1  -1   0            0.00379 
    137           H8           H7      2.98391       0  -1   0            0.00004 
    138           H8           H7      1.79403       0   0   0            0.00874 
    139           H9           H7      2.08373       0  -1   0            0.00076 
    140           H9           H7      2.10475       0   0   0            0.00672 
    141          H10           H7      2.08369      -1  -1   0            0.00077 
    142          H10           H7      2.10483       0   0   0            0.00675 
    143          H11           H7      1.27534       0   0   0            0.11792 
    144          H12           H7      1.52962      -1   0  -1            0.03608 
    145          H12           H7      2.84844       0   0  -1            0.00064 
    146          H12           H7      2.86207       0   1  -1            0.00012 
    147          H13           H7      2.84835      -1   0  -1            0.00064 
    148          H13           H7      1.52967       0   0  -1            0.03618 
    149          H13           H7      2.86199       0   1  -1            0.00012 
    150          H14           H7      2.33608      -1  -1  -1            0.00636 
    151          H14           H7      2.18096      -1   0  -1            0.00140 
    152          H14           H7      2.18111       0   0  -1            0.00139 
    153           H9           H8      1.93555       0   0   0            0.00846 
    154           H9           H8      1.98028       1   0   0            0.00058 
    155          H10           H8      0.95014       0   0   0            0.33124 
    156          H11           H8      2.10482       0   0   0            0.00672 
    157          H11           H8      2.08369       1   1   0            0.00076 
    158          H12           H8      1.56963       0   1  -1            0.03165 
    159          H13           H8      2.52183       0   0  -1            0.00007 
    160          H13           H8      2.30373       0   1  -1            0.00094 
    161          H13           H8      2.34147       1   1  -1            0.00260 
    162          H14           H8      2.84835      -1   0  -1            0.00064 
