  COHP#       atomMU       atomNU     distance     translation      ICOHP (at) eF   for spin  1
    113          H11           H5      2.84835       1   0   0           -0.00348 
    114          H12           H5      1.98028      -1   0   0            0.00390 
    115          H12           H5      1.93555       0   0   0           -0.00612 
    116          H13           H5      0.95014       0   0   0           -3.08015 
    117          H14           H5      2.08369      -1  -1   0            0.00405 
    118          H14           H5      2.10482       0   0   0           -0.00662 
    119           H7           H6      1.79395       0   0   0           -0.09379 
    120           H7           H6      1.76924       0   1   0           -0.05783 
    121           H7           H6      2.98389       1   1   0           -0.00055 
    122           H8           H6      1.73747      -1   0   0           -0.04346 
    123           H8           H6      1.68631       0   0   0           -0.14590 
    124           H9           H6      0.95009       0   0   0           -3.09728 
    125          H10           H6      1.98028      -1   0   0            0.00377 
    126          H10           H6      1.93555       0   0   0           -0.00581 
    127          H11           H6      2.10475       0   0   0           -0.00717 
    128          H11           H6      2.08372       0   1   0            0.00391 
    129          H12           H6      2.52179      -1   0  -1            0.00040 
    130          H12           H6      2.34149      -1   1  -1           -0.00790 
    131          H12           H6      2.30382       0   1  -1           -0.00101 
    132          H13           H6      1.56963       0   1  -1           -0.34208 
    133          H14           H6      1.52962      -1   0  -1           -0.37639 
    134          H14           H6      2.84844       0   0  -1           -0.00342 
    135          H14           H6      2.86207       0   1  -1           -0.00092 
    136           H8           H7      1.76918      -1  -1   0           -0.05815 
    137           H8           H7      2.98391       0  -1   0           -0.00053 
    138           H8           H7      1.79403       0   0   0           -0.09405 
    139           H9           H7      2.08373       0  -1   0            0.00402 
    140           H9           H7      2.10475       0   0   0           -0.00668 
    141          H10           H7      2.08369      -1  -1   0            0.00391 
    142          H10           H7      2.10483       0   0   0           -0.00717 
    143          H11           H7      1.27534       0   0   0           -1.07257 
    144          H12           H7      1.52962      -1   0  -1           -0.37654 
    145          H12           H7      2.84844       0   0  -1           -0.00348 
    146          H12           H7      2.86207       0   1  -1           -0.00099 
    147          H13           H7      2.84835      -1   0  -1           -0.00334 
    148          H13           H7      1.52967       0   0  -1           -0.37781 
    149          H13           H7      2.86199       0   1  -1           -0.00094 
    150          H14           H7      2.33608      -1  -1  -1           -0.02027 
    151          H14           H7      2.18096      -1   0  -1           -0.01150 
    152          H14           H7      2.18111       0   0  -1           -0.01142 
    153           H9           H8      1.93555       0   0   0           -0.00590 
    154           H9           H8      1.98028       1   0   0            0.00379 
    155          H10           H8      0.95014       0   0   0           -3.09694 
    156          H11           H8      2.10482       0   0   0           -0.00673 
    157          H11           H8      2.08369       1   1   0            0.00401 
    158          H12           H8      1.56963       0   1  -1           -0.34256 
    159          H13           H8      2.52183       0   0  -1            0.00038 
    160          H13           H8      2.30373       0   1  -1           -0.00106 
    161          H13           H8      2.34147       1   1  -1           -0.00779 
    162          H14           H8      2.84835      -1   0  -1           -0.00340 
    163          H14           H8      1.52967       0   0  -1           -0.37674 
    164          H14           H8      2.86199       0   1  -1           -0.00099 
    165          H10           H9      1.73747      -1   0   0           -0.04356 
    166          H10           H9      1.68631       0   0   0           -0.14618 
    167          H11           H9      1.79395       0   0   0           -0.09410 
    168          H11           H9      1.76924       0   1   0           -0.05809 
    169          H11           H9      2.98389       1   1   0           -0.00054 
    170          H12           H9      2.96512      -1   1  -1           -0.00224 
    171          H12           H9      2.93546       0   1  -1            0.00127 
    172          H12           H9      2.96511      -1   1   0           -0.00208 
    173          H12           H9      2.93546       0   1   0            0.00125 
    174          H13           H9      2.40271       0   1  -1           -0.04854 
    175          H13           H9      2.40275       0   1   0           -0.04788 
    176          H14           H9      2.31085      -1   0  -1           -0.04457 
    177          H14           H9      2.60421      -1   0   0           -0.02333 
    178          H11          H10      1.79403       0   0   0           -0.09380 
