  COOP#       atomMU       atomNU     distance     translation      ICOOP (at) eF   for spin  1
    114          H12           H5      1.98028      -1   0   0           -0.02470 
    115          H12           H5      1.93555       0   0   0           -0.07994 
    116          H13           H5      0.95014       0   0   0            0.19629 
    117          H14           H5      2.08369      -1  -1   0           -0.02149 
    118          H14           H5      2.10482       0   0   0           -0.04272 
    119           H7           H6      1.79395       0   0   0           -0.00845 
    120           H7           H6      1.76924       0   1   0           -0.02132 
    121           H7           H6      2.98389       1   1   0            0.00049 
    122           H8           H6      1.73747      -1   0   0           -0.03020 
    123           H8           H6      1.68631       0   0   0            0.00529 
    124           H9           H6      0.95009       0   0   0            0.20314 
    125          H10           H6      1.98028      -1   0   0           -0.02397 
    126          H10           H6      1.93555       0   0   0           -0.07888 
    127          H11           H6      2.10475       0   0   0           -0.04457 
    128          H11           H6      2.08372       0   1   0           -0.02107 
    129          H12           H6      2.52179      -1   0  -1           -0.00159 
    130          H12           H6      2.34149      -1   1  -1           -0.01285 
    131          H12           H6      2.30382       0   1  -1            0.00009 
    132          H13           H6      1.56963       0   1  -1            0.01399 
    133          H14           H6      1.52962      -1   0  -1           -0.00008 
    134          H14           H6      2.84844       0   0  -1           -0.00269 
    135          H14           H6      2.86207       0   1  -1           -0.00045 
    136           H8           H7      1.76918      -1  -1   0           -0.02123 
    137           H8           H7      2.98391       0  -1   0            0.00050 
    138           H8           H7      1.79403       0   0   0           -0.00843 
    139           H9           H7      2.08373       0  -1   0           -0.02100 
    140           H9           H7      2.10475       0   0   0           -0.04451 
    141          H10           H7      2.08369      -1  -1   0           -0.02102 
    142          H10           H7      2.10483       0   0   0           -0.04459 
    143          H11           H7      1.27534       0   0   0            0.03331 
    144          H12           H7      1.52962      -1   0  -1            0.00013 
    145          H12           H7      2.84844       0   0  -1           -0.00269 
    146          H12           H7      2.86207       0   1  -1           -0.00051 
    147          H13           H7      2.84835      -1   0  -1           -0.00268 
    148          H13           H7      1.52967       0   0  -1            0.00039 
    149          H13           H7      2.86199       0   1  -1           -0.00052 
    150          H14           H7      2.33608      -1  -1  -1           -0.01643 
    151          H14           H7      2.18096      -1   0  -1           -0.01032 
